Name,Block,RoomId,Beds Available,Beds Taken,Beds Remaining,Location,Size,Vacancy Status,Price per bed,Price,Super Lisiting,Listing Id
Block 1 Room 1,1,1,2,2,0,Terrace,Small,FULLY BOOKED,5800,11600,prontohostel,1
Block 1 Room 2,1,2,4,0,4,Ground Floor,Small,EMPTY,2750,11000,prontohostel,1
Block 1 Room 3,1,3,2,1,1,Ground Floor,Small,PARTIALLY BOOKED,5500,11000,prontohostel,1
Block 1 Room 4,1,4,2,2,0,Ground Floor,Small,FULLY BOOKED,5500,11000,prontohostel,1
Block 1 Room 5,1,5,4,4,0,Ground Floor,Small,FULLY BOOKED,2750,11000,prontohostel,1
Block 1 Room 6,1,6,2,2,0,Ground Floor,Small,FULLY BOOKED,5500,11000,prontohostel,1
Block 1 Room 7,1,7,2,1,1,Ground Floor,Small,PARTIALLY BOOKED,5500,11000,prontohostel,1
Block 1 Room 8,1,8,2,2,0,Ground Floor,Small,FULLY BOOKED,5500,11000,prontohostel,1
Block 1 Room 9,1,9,2,1,1,Ground Floor,Small,PARTIALLY BOOKED,5500,11000,prontohostel,1
Block 1 Room 10,1,10,2,1,1,Ground Floor,Small,PARTIALLY BOOKED,5500,11000,prontohostel,1
Block 1 Room 11,1,11,4,0,4,Ground Floor,Small,EMPTY,2750,11000,prontohostel,1
Block 1 Room 12,1,12,2,1,1,Terrace,Small,PARTIALLY BOOKED,5800,11600,prontohostel,1
Block 1 Room 13,1,13,2,1,1,Terrace,Small,PARTIALLY BOOKED,5800,11600,prontohostel,1
Block 1 Room 14,1,14,2,2,0,First Floor,Small,FULLY BOOKED,5500,11000,prontohostel,1
Block 1 Room 15,1,15,2,2,0,First Floor,Small,FULLY BOOKED,5500,11000,prontohostel,1
Block 1 Room 16,1,16,1,1,0,First Floor,Small,FULLY BOOKED,11000,11000,prontohostel,1
Block 1 Room 17,1,17,4,1,3,First Floor,Small,PARTIALLY BOOKED,2750,11000,prontohostel,1
Block 1 Room 18,1,18,1,1,0,First Floor,Small,FULLY BOOKED,11000,11000,prontohostel,1
Block 1 Room 19,1,19,2,2,0,First Floor,Small,FULLY BOOKED,5500,11000,prontohostel,1
Block 1 Room 20,1,20,4,4,0,First Floor,Small,FULLY BOOKED,2750,11000,prontohostel,1
Block 1 Room 21,1,21,2,2,0,First Floor,Small,FULLY BOOKED,5500,11000,prontohostel,1
Block 1 Room 22,1,22,2,2,0,First Floor,Small,FULLY BOOKED,5500,11000,prontohostel,1
Block 1 Room 23,1,23,4,0,4,First Floor,Small,EMPTY,2750,11000,prontohostel,1
Block 1 Room 24,1,24,2,2,0,Terrace,Small,FULLY BOOKED,5800,11600,prontohostel,1
Block 1 Room 25,1,25,2,2,0,Terrace,Small,FULLY BOOKED,5800,11600,prontohostel,1
Block 1 Room 26,1,26,1,1,0,Second Floor,Small,FULLY BOOKED,11000,11000,prontohostel,1
