name,bedsAvailable,block,roomId,fullAmount,superListing,listingId
A005,3,A,005,0,cuoldgirls,1,"1,585.00"
A009,3,A,009,0,cuoldgirls,1,"1,585.00"
A012,3,A,012,0,cuoldgirls,1,"1,585.00"
A001,2,A,001,0,cuoldgirls,1,"1,780.00"
A002,2,A,002,0,cuoldgirls,1,"1,780.00"
A003,2,A,003,0,cuoldgirls,1,"1,780.00"
A004,2,A,004,0,cuoldgirls,1,"1,780.00"
A007,3,A,007,0,cuoldgirls,1,"1,780.00"
A008,2,A,008,0,cuoldgirls,1,"1,800.00"
A010,2,A,010,0,cuoldgirls,1,"1,780.00"
A011,2,A,011,0,cuoldgirls,1,"1,780.00"
A105,3,A,105,0,cuoldgirls,1,"1,585.00"
A109,3,A,109,0,cuoldgirls,1,"1,585.00"
A112,3,A,112,0,cuoldgirls,1,"1,585.00"
A101,2,A,101,0,cuoldgirls,1,"1,780.00"
A102,2,A,102,0,cuoldgirls,1,"1,780.00"
A103,2,A,103,0,cuoldgirls,1,"1,780.00"
A104,2,A,104,0,cuoldgirls,1,"1,780.00"
A106A,2,A,106,0,cuoldgirls,1,"1,800.00"
A106B,2,A,106B,0,cuoldgirls,1,"1,800.00"
A107,2,A,107,0,cuoldgirls,1,"1,780.00"
A108,2,A,108,0,cuoldgirls,1,"1,280.00"
A110,2,A,110,0,cuoldgirls,1,"1,480.00"
A111,2,A,111,0,cuoldgirls,1,"1,780.00"
A205,3,A,205,0,cuoldgirls,1,"1,585.00"
A209,3,A,209,0,cuoldgirls,1,"1,585.00"
A212,3,A,212,0,cuoldgirls,1,"1,585.00"
A201,2,A,201,0,cuoldgirls,1,"1,780.00"
A202,2,A,202,0,cuoldgirls,1,"1,780.00"
A203,2,A,203,0,cuoldgirls,1,-320
A204,2,A,204,0,cuoldgirls,1,20
A206A,2,A,206,0,cuoldgirls,1,"1,800.00"
A206B,2,A,206B,0,cuoldgirls,1,"1,800.00"
A207,2,A,207,0,cuoldgirls,1,"1,780.00"
A208,2,A,208,0,cuoldgirls,1,"1,780.00"
A210,2,A,210,0,cuoldgirls,1,"1,780.00"
A211,2,A,211,0,cuoldgirls,1,"1,780.00"
A305,3,A,305,0,cuoldgirls,1,"1,585.00"
A309,3,A,309,0,cuoldgirls,1,"1,585.00"
A312,3,A,312,0,cuoldgirls,1,"1,585.00"
A301,2,A,301,0,cuoldgirls,1,"1,780.00"
A302,2,A,302,0,cuoldgirls,1,"1,780.00"
A303,2,A,303,0,cuoldgirls,1,"1,780.00"
A304,2,A,304,0,cuoldgirls,1,"1,780.00"
A306A,2,A,306,0,cuoldgirls,1,"1,800.00"
A306B,2,A,306B,0,cuoldgirls,1,"1,800.00"
A307,2,A,307,0,cuoldgirls,1,"1,780.00"
A308,2,A,308,0,cuoldgirls,1,"1,780.00"
A310,2,A,310,0,cuoldgirls,1,"1,780.00"
A311,2,A,311,0,cuoldgirls,1,"1,780.00"
ROOM NO.,3,R,OOM NO.,0,cuoldgirls,1,EXPTED
B001,3,B,001,0,cuoldgirls,1,-80
B002,3,B,002,0,cuoldgirls,1,"1,320.00"
B003,3,B,003,0,cuoldgirls,1,"1,320.00"
B004,3,B,004,0,cuoldgirls,1,"1,320.00"
B005,3,B,005,0,cuoldgirls,1,"1,320.00"
B006,3,B,006,0,cuoldgirls,1,"1,320.00"
B007,3,B,007,0,cuoldgirls,1,"1,585.00"
B008,3,B,008,0,cuoldgirls,1,"1,320.00"
B101,3,B,101,0,cuoldgirls,1,"1,320.00"
B102,3,B,102,0,cuoldgirls,1,"1,320.00"
B103,3,B,103,0,cuoldgirls,1,"1,320.00"
B104,3,B,104,0,cuoldgirls,1,"1,320.00"
B105,3,B,105,0,cuoldgirls,1,"1,320.00"
B106,3,B,106,0,cuoldgirls,1,"1,320.00"
B201,3,B,201,0,cuoldgirls,1,"1,320.00"
B202,3,B,202,0,cuoldgirls,1,"1,320.00"
B203,3,B,203,0,cuoldgirls,1,"1,320.00"
B204,3,B,204,0,cuoldgirls,1,"1,320.00"
B205,3,B,205,0,cuoldgirls,1,"1,320.00"
B206,3,B,206,0,cuoldgirls,1,"1,320.00"
B301,3,B,301,0,cuoldgirls,1,"1,320.00"
B302,3,B,302,0,cuoldgirls,1,"1,320.00"
B303,3,B,303,0,cuoldgirls,1,"1,320.00"
B304,3,B,304,0,cuoldgirls,1,"1,320.00"
B305,3,B,305,0,cuoldgirls,1,"1,320.00"
B306,3,B,306,0,cuoldgirls,1,"1,320.00"
C101,3,C,101,0,cuoldgirls,1,"1,320.00"
C102,4,C,102,0,cuoldgirls,1,"1,320.00"
C103,3,C,103,0,cuoldgirls,1,"1,320.00"
C104,3,C,104,0,cuoldgirls,1,"1,320.00"
C105,3,C,105,0,cuoldgirls,1,"1,320.00"
C201,3,C,201,0,cuoldgirls,1,"1,320.00"
C202,2,C,202,0,cuoldgirls,1,"1,320.00"
TV Room,8,T,V Room,0,cuoldgirls,1,680
C203,3,C,203,0,cuoldgirls,1,"1,320.00"
C204,3,C,204,0,cuoldgirls,1,"1,320.00"
C205,3,C,205,0,cuoldgirls,1,"1,320.00"
C301,3,C,301,0,cuoldgirls,1,"1,320.00"
C302,3,C,302,0,cuoldgirls,1,"1,320.00"
C303,3,C,303,0,cuoldgirls,1,"1,320.00"
C304,3,C,304,0,cuoldgirls,1,"1,320.00"
C305,3,C,305,0,cuoldgirls,1,"1,320.00"
D001,3,D,001,0,cuoldgirls,1,"1,585.00"
D004,3,D,004,0,cuoldgirls,1,"1,585.00"
D008,3,D,008,0,cuoldgirls,1,"1,585.00"
D002,2,D,002,0,cuoldgirls,1,"1,280.00"
D003,2,D,003,0,cuoldgirls,1,"1,780.00"
D005,2,D,005,0,cuoldgirls,1,"1,780.00"
D006,2,D,006,0,cuoldgirls,1,"1,780.00"
D007A,2,D,007A,0,cuoldgirls,1,"1,800.00"
D007B,2,D,007B,0,cuoldgirls,1,"1,800.00"
D009,2,D,009,0,cuoldgirls,1,"1,780.00"
D010,2,D,010,0,cuoldgirls,1,"1,780.00"
D011,2,D,011,0,cuoldgirls,1,"1,780.00"
D012,2,D,012,0,cuoldgirls,1,"1,780.00"
D101,3,D,101,0,cuoldgirls,1,"1,585.00"
D104,3,D,104,0,cuoldgirls,1,"1,585.00"
D108,3,D,108,0,cuoldgirls,1,"1,585.00"
D102,2,D,102,0,cuoldgirls,1,"1,780.00"
D103,2,D,103,0,cuoldgirls,1,"1,780.00"
D105,2,D,105,0,cuoldgirls,1,"1,780.00"
D106,2,D,106,0,cuoldgirls,1,"1,780.00"
D107,2,D,107,0,cuoldgirls,1,"1,800.00"
D107B,2,D,107B,0,cuoldgirls,1,"1,800.00"
