Name,Beds Available,Beds Taken,Block,RoomId,Super Listing,listingId,fullAmount,Location,Size,Vacancy Status,Price per bed,Price
A005,0,0,A,005,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0
A009,0,0,A,009,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0
A012,0,0,A,012,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0
A001,0,0,A,001,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
A002,0,0,A,002,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
A003,0,0,A,003,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
A004,0,0,A,004,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
A007,0,0,A,007,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
A008,0,0,A,008,cuoldgirls,1,"1,800.00",N/A,N/A,N/A,0,0
A010,0,0,A,010,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
A011,0,0,A,011,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
A105,0,0,A,105,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0
A109,0,0,A,109,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0
A112,0,0,A,112,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0
A101,0,0,A,101,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
A102,0,0,A,102,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
A103,0,0,A,103,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
A104,0,0,A,104,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
A106A,0,0,A,106,cuoldgirls,1,"1,800.00",N/A,N/A,N/A,0,0
A106B,0,0,A,106B,cuoldgirls,1,"1,800.00",N/A,N/A,N/A,0,0
A107,0,0,A,107,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
A108,0,0,A,108,cuoldgirls,1,"1,280.00",N/A,N/A,N/A,0,0
A110,0,0,A,110,cuoldgirls,1,"1,480.00",N/A,N/A,N/A,0,0
A111,0,0,A,111,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
A205,0,0,A,205,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0
A209,0,0,A,209,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0
A212,0,0,A,212,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0
A201,0,0,A,201,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
A202,0,0,A,202,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
A203,0,0,A,203,cuoldgirls,1,-320,N/A,N/A,N/A,0,0
A204,0,0,A,204,cuoldgirls,1,20,N/A,N/A,N/A,0,0
A206A,0,0,A,206,cuoldgirls,1,"1,800.00",N/A,N/A,N/A,0,0
A206B,0,0,A,206B,cuoldgirls,1,"1,800.00",N/A,N/A,N/A,0,0
A207,0,0,A,207,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
A208,0,0,A,208,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
A210,0,0,A,210,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
A211,0,0,A,211,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
A305,0,0,A,305,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0
A309,0,0,A,309,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0
A312,0,0,A,312,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0
A301,0,0,A,301,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
A302,0,0,A,302,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
A303,0,0,A,303,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
A304,0,0,A,304,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
A306A,0,0,A,306,cuoldgirls,1,"1,800.00",N/A,N/A,N/A,0,0
A306B,0,0,A,306B,cuoldgirls,1,"1,800.00",N/A,N/A,N/A,0,0
A307,0,0,A,307,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
A308,0,0,A,308,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
A310,0,0,A,310,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
A311,0,0,A,311,cuoldgirls,1,"1,780.00",N/A,N/A,N/A,0,0
ROOM NO.,0,0,R,OOM NO.,cuoldgirls,1,EXPTED,N/A,N/A,N/A,0,0
B001,0,0,B,001,cuoldgirls,1,-80,N/A,N/A,N/A,0,0
B002,0,0,B,002,cuoldgirls,1,"1,320.00",N/A,N/A,N/A,0,0
B003,0,0,B,003,cuoldgirls,1,"1,320.00",N/A,N/A,N/A,0,0
B004,0,0,B,004,cuoldgirls,1,"1,320.00",N/A,N/A,N/A,0,0
B005,0,0,B,005,cuoldgirls,1,"1,320.00",N/A,N/A,N/A,0,0
B006,0,0,B,006,cuoldgirls,1,"1,320.00",N/A,N/A,N/A,0,0
B007,0,0,B,007,cuoldgirls,1,"1,585.00",N/A,N/A,N/A,0,0
B008,0,0,B,008,cuoldgirls,1,"1,320.00",N/A,N/A,N/A,0,0
B101,0,0,B,101,cuoldgirls,1,"1,320.00",N/A,N/A,N/A,0,0
B102,0,0,B,102,cuoldgirls,1,"1,320.00",N/A,N/A,N/A,0,0
