Name,Beds Available,Beds Taken,Block,RoomId,Super Listing,ListingId,fullAmount,Location,Size,Vacancy Status,Price per bed,Price,Listing Id
A005,3,0,A,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,False,"1,585.00",3170,1
A005,3,0,A,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,False,"1,585.00",3170,1
A005,3,0,A,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,False,"1,585.00",3170,1
A009,3,0,A,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,True,"1,585.00",3170,1
A009,3,0,A,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,False,"1,585.00",3170,1
A009,3,0,A,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,False,"1,585.00",3170,1
A012,3,0,A,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,False,"1,585.00",3170,1
A012,3,0,A,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,False,"1,585.00",3170,1
A012,3,0,A,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,False,"1,585.00",3170,1
A001,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,780.00",0,1
A001,2,0,A,,cuoldgirls,1,3560,CENTRAL UNIVERSITY,size,False,"1,780.00",3560,1
A002,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,780.00",0,1
A002,2,0,A,,cuoldgirls,1,3560,CENTRAL UNIVERSITY,size,False,"1,780.00",3560,1
A003,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,780.00",0,1
A003,2,0,A,,cuoldgirls,1,3560,CENTRAL UNIVERSITY,size,False,920,3560,1
A004,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,780.00",0,1
A004,2,0,A,,cuoldgirls,1,3560,CENTRAL UNIVERSITY,size,False,"1,780.00",3560,1
A007,3,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,780.00",0,1
A007,3,0,A,,cuoldgirls,1,3560,CENTRAL UNIVERSITY,size,False,"1,780.00",3560,1
A008,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,800.00",0,1
A008,2,0,A,,cuoldgirls,1,3600,CENTRAL UNIVERSITY,size,False,"1,780.00",3600,1
A010,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,780.00",0,1
A010,2,0,A,,cuoldgirls,1,3560,CENTRAL UNIVERSITY,size,False,"1,780.00",3560,1
A011,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,780.00",0,1
A011,2,0,A,,cuoldgirls,1,3560,CENTRAL UNIVERSITY,size,False,"1,780.00",3560,1
A105,3,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,585.00",0,1
A105,3,0,A,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,False,"1,585.00",3170,1
A105,3,0,A,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,False,"1,585.00",3170,1
A109,3,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,585.00",0,1
A109,3,0,A,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,False,"1,585.00",3170,1
A109,3,0,A,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,False,"1,585.00",3170,1
A112,3,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,585.00",0,1
A112,3,0,A,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,False,"1,585.00",3170,1
A112,3,0,A,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,False,"1,585.00",3170,1
A101,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,780.00",0,1
A101,2,0,A,,cuoldgirls,1,3560,CENTRAL UNIVERSITY,size,False,"1,780.00",3560,1
A102,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,780.00",0,1
A102,2,0,A,,cuoldgirls,1,3560,CENTRAL UNIVERSITY,size,False,"1,780.00",3560,1
A103,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,780.00",0,1
A103,2,0,A,,cuoldgirls,1,3560,CENTRAL UNIVERSITY,size,False,"1,780.00",3560,1
A104,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,780.00",0,1
A104,2,0,A,,cuoldgirls,1,3560,CENTRAL UNIVERSITY,size,False,"1,780.00",3560,1
A106A,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,800.00",0,1
A106A,2,0,A,,cuoldgirls,1,3600,CENTRAL UNIVERSITY,size,False,"1,800.00",3600,1
A106B,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,800.00",0,1
A106B,2,0,A,,cuoldgirls,1,3600,CENTRAL UNIVERSITY,size,False,"1,800.00",3600,1
A107,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,780.00",0,1
A107,2,0,A,,cuoldgirls,1,3560,CENTRAL UNIVERSITY,size,False,"1,780.00",3560,1
A108,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,280.00",0,1
A108,2,0,A,,cuoldgirls,1,2560,CENTRAL UNIVERSITY,size,False,"1,780.00",2560,1
A110,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,480.00",0,1
A110,2,0,A,,cuoldgirls,1,2960,CENTRAL UNIVERSITY,size,False,"1,780.00",2960,1
A111,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,780.00",0,1
A111,2,0,A,,cuoldgirls,1,3560,CENTRAL UNIVERSITY,size,False,"1,780.00",3560,1
A205,3,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,585.00",0,1
A205,3,0,A,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,True,"1,585.00",3170,1
A205,3,0,A,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,False,"1,585.00",3170,1
A209,3,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,585.00",0,1
A209,3,0,A,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,False,"1,585.00",3170,1
A209,3,0,A,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,False,"1,585.00",3170,1
A212,3,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,585.00",0,1
A212,3,0,A,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,False,"1,585.00",3170,1
A212,3,0,A,,cuoldgirls,1,3170,CENTRAL UNIVERSITY,size,False,"1,585.00",3170,1
A201,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,780.00",0,1
A201,2,0,A,,cuoldgirls,1,3560,CENTRAL UNIVERSITY,size,False,"1,780.00",3560,1
A202,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,780.00",0,1
A202,2,0,A,,cuoldgirls,1,3560,CENTRAL UNIVERSITY,size,False,"1,780.00",3560,1
A203,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,-320,0,1
A203,2,0,A,,cuoldgirls,1,-640,CENTRAL UNIVERSITY,size,False,"1,780.00",-640,1
A204,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,20,0,1
A204,2,0,A,,cuoldgirls,1,40,CENTRAL UNIVERSITY,size,False,"1,780.00",40,1
A206A,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,True,"1,800.00",0,1
A206A,2,0,A,,cuoldgirls,1,3600,CENTRAL UNIVERSITY,size,True,"1,800.00",3600,1
A206B,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,800.00",0,1
A206B,2,0,A,,cuoldgirls,1,3600,CENTRAL UNIVERSITY,size,True,"1,800.00",3600,1
A007,3,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,800.00",0,1
A207,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,780.00",0,1
A207,2,0,A,,cuoldgirls,1,3560,CENTRAL UNIVERSITY,size,False,"1,780.00",3560,1
A208,2,0,A,,cuoldgirls,1,0,CENTRAL UNIVERSITY,size,False,"1,780.00",0,1
