Name,Beds Available,Beds Taken,Block,RoomId,Super Listing,listingId,fullAmount,Location,Size,Vacancy Status,Price per bed,Price,Listing Id,Level
A005,3,3,A,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,
A005,3,3,A,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,
A005,3,3,A,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,
A009,3,3,A,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,
A009,3,3,A,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,500
A009,3,3,A,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,400
A012,3,3,A,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,300
A012,3,3,A,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,450
A012,3,3,A,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,200
A001,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,500
A001,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,100
A002,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,300
A002,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,300
A003,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,400
A003,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,200
A004,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,450
A004,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,450
A007,3,3,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,200
A007,3,3,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,450
A008,2,2,A,,cuoldgirls,1,"1,800.00",location,size,vacancystatus,0,0,1,300
A008,2,2,A,,cuoldgirls,1,"1,800.00",location,size,vacancystatus,0,0,1,450
A010,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,400
A010,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,200
A011,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,400
A011,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,300
A105,3,3,A,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,200
A105,3,3,A,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,100
A105,3,3,A,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,200
A109,3,3,A,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,300
A109,3,3,A,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,500
A109,3,3,A,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,100
A112,3,3,A,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,300
A112,3,3,A,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,300
A112,3,3,A,,cuoldgirls,1,"1,585.00",location,size,vacancystatus,0,0,1,300
A101,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,200
A101,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,200
A102,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,300
A102,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,500
A103,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,200
A103,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,
A104,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,300
A104,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,400
A106A,2,2,A,,cuoldgirls,1,"1,800.00",location,size,vacancystatus,0,0,1,100
A106A,2,2,A,,cuoldgirls,1,"1,800.00",location,size,vacancystatus,0,0,1,200
A106B,2,2,A,,cuoldgirls,1,"1,800.00",location,size,vacancystatus,0,0,1,300
A106B,2,2,A,,cuoldgirls,1,"1,800.00",location,size,vacancystatus,0,0,1,450
A107,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,300
A107,2,2,A,,cuoldgirls,1,"1,780.00",location,size,vacancystatus,0,0,1,300
A108,2,2,A,,cuoldgirls,1,"1,280.00",location,size,vacancystatus,0,0,1,200
A108,2,2,A,,cuoldgirls,1,"1,280.00",location,size,vacancystatus,0,0,1,200
